CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
465,44.3799504,-73.2581361,50.44,0.370000004768,STABILIZE,3,7
465,44.3799513,-73.2581353,50.45,0.359999984503,STABILIZE,3,7
465,44.3799518,-73.2581352,50.42,0.229999989271,STABILIZE,3,7
465,44.3799506,-73.2581369,50.44,0.34999999404,STABILIZE,3,7
465,44.3799507,-73.2581364,50.44,0.329999983311,STABILIZE,3,7
465,44.3799497,-73.2581376,50.43,0.229999989271,STABILIZE,3,7
465,44.3799494,-73.2581371,50.41,0.259999990463,STABILIZE,3,7
465,44.3799497,-73.2581366,50.37,0.170000001788,STABILIZE,3,7
465,44.3799498,-73.2581362,50.36,0.0399999991059,STABILIZE,3,7
465,44.3799503,-73.2581351,50.35,0.070000000298,STABILIZE,3,7
465,44.3799506,-73.2581344,50.33,0.209999993443,STABILIZE,3,7
465,44.3799501,-73.2581358,50.32,0.229999989271,STABILIZE,3,7
465,44.3799503,-73.2581365,50.27,0.219999998808,STABILIZE,3,7
465,44.3799508,-73.2581348,50.26,0.219999998808,STABILIZE,3,7
465,44.3799529,-73.2581328,50.21,0.189999997616,STABILIZE,3,7
465,44.3799531,-73.2581324,50.19,0.0899999961257,STABILIZE,3,7
466,44.3799546,-73.2581307,50.18,0.119999997318,STABILIZE,3,7
466,44.379956,-73.2581292,50.16,0.199999988079,STABILIZE,3,7
466,44.3799577,-73.2581252,50.16,0.259999990463,STABILIZE,3,7
466,44.3799585,-73.2581235,50.17,0.259999990463,STABILIZE,3,7
466,44.3799586,-73.2581227,50.18,0.0999999940395,STABILIZE,3,7
466,44.3799598,-73.2581216,50.16,0.189999997616,STABILIZE,3,7
466,44.3799606,-73.2581214,50.15,0.109999999404,STABILIZE,3,7
466,44.3799606,-73.2581218,50.15,0.289999991655,STABILIZE,3,7
465,44.3799615,-73.2581221,50.14,0.149999991059,STABILIZE,3,7
465,44.3799629,-73.2581214,50.11,0.119999997318,STABILIZE,3,6
465,44.3799641,-73.258121,50.07,0.269999980927,STABILIZE,3,6
465,44.3799648,-73.2581233,50.04,0.140000000596,STABILIZE,3,6
465,44.3799649,-73.2581246,50.05,0.839999973774,STABILIZE,3,6
465,44.3799661,-73.2581251,50.04,0.229999989271,STABILIZE,3,6
465,44.3799667,-73.2581267,50.01,0.189999997616,STABILIZE,3,6
466,44.3799667,-73.2581288,50.0,0.149999991059,STABILIZE,3,6
466,44.3799682,-73.2581281,49.98,0.140000000596,STABILIZE,3,6
466,44.3799674,-73.2581302,49.93,0.359999984503,STABILIZE,3,6
466,44.3799684,-73.2581306,49.94,0.239999994636,STABILIZE,3,6
466,44.379969,-73.2581319,49.95,0.379999995232,STABILIZE,3,6
466,44.3799681,-73.2581345,49.96,0.359999984503,STABILIZE,3,6
466,44.3799691,-73.258134,49.95,0.070000000298,STABILIZE,3,6
466,44.3799691,-73.2581346,49.95,0.179999992251,STABILIZE,3,6
466,44.3799695,-73.2581359,49.94,0.359999984503,STABILIZE,3,6
466,44.3799675,-73.2581404,49.93,0.399999976158,STABILIZE,3,6
466,44.3799672,-73.2581417,49.94,0.560000002384,STABILIZE,3,6
466,44.3799672,-73.2581433,49.94,0.229999989271,STABILIZE,3,6
466,44.3799675,-73.2581426,49.93,0.149999991059,STABILIZE,3,6
466,44.3799683,-73.2581434,49.9,0.370000004768,STABILIZE,3,6
466,44.3799689,-73.2581428,49.9,0.179999992251,STABILIZE,3,6
468,44.3799698,-73.2581424,49.87,0.239999994636,STABILIZE,3,6
468,44.3799704,-73.2581429,49.87,0.149999991059,STABILIZE,3,6
468,44.3799716,-73.2581421,49.84,0.179999992251,STABILIZE,3,6
468,44.3799712,-73.2581445,49.82,0.199999988079,STABILIZE,3,7
469,44.37997,-73.258147,49.8,0.189999997616,STABILIZE,3,7
469,44.379969,-73.2581502,49.81,0.509999990463,STABILIZE,3,7
469,44.3799688,-73.2581508,49.8,0.209999993443,STABILIZE,3,7
469,44.3799696,-73.2581501,49.79,0.259999990463,STABILIZE,3,7
469,44.3799716,-73.2581485,49.79,0.0599999986589,STABILIZE,3,7
469,44.3799723,-73.2581477,49.79,0.0399999991059,STABILIZE,3,7
469,44.3799731,-73.2581467,49.8,0.280000001192,STABILIZE,3,7
469,44.3799732,-73.258146,49.78,0.25,STABILIZE,3,7
468,44.3799733,-73.2581451,49.76,0.140000000596,STABILIZE,3,7
468,44.379975,-73.2581424,49.77,0.109999999404,STABILIZE,3,7
468,44.3799752,-73.2581424,49.75,0.239999994636,STABILIZE,3,7
468,44.3799757,-73.258143,49.75,0.239999994636,STABILIZE,3,7
468,44.3799772,-73.2581419,49.73,0.0399999991059,STABILIZE,3,7
468,44.3799772,-73.258142,49.72,0.129999995232,STABILIZE,3,7
468,44.3799785,-73.2581402,49.74,0.199999988079,STABILIZE,3,7
467,44.3799788,-73.2581398,49.74,0.0599999986589,STABILIZE,3,7
467,44.3799784,-73.2581396,49.75,0.0899999961257,STABILIZE,3,7
467,44.3799787,-73.2581391,49.74,0.0499999970198,STABILIZE,3,7
467,44.3799795,-73.2581382,49.73,0.019999999553,STABILIZE,3,7
467,44.3799804,-73.2581361,49.7,0.0899999961257,STABILIZE,3,7
467,44.3799808,-73.2581351,49.69,0.109999999404,STABILIZE,3,7
467,44.379981,-73.2581341,49.69,0.0499999970198,STABILIZE,3,7
467,44.3799811,-73.2581337,49.69,0.109999999404,STABILIZE,3,7
468,44.3799807,-73.2581324,49.66,0.149999991059,STABILIZE,3,7
468,44.3799801,-73.2581327,49.65,0.109999999404,STABILIZE,3,7
468,44.3799797,-73.2581314,49.63,0.179999992251,STABILIZE,3,7
468,44.3799807,-73.2581299,49.62,0.0799999982119,STABILIZE,3,7
468,44.3799807,-73.2581291,49.61,0.199999988079,STABILIZE,3,6
468,44.3799811,-73.2581276,49.6,0.170000001788,STABILIZE,3,6
468,44.379982,-73.2581258,49.59,0.0999999940395,STABILIZE,3,7
469,44.3799835,-73.2581225,49.57,0.319999992847,STABILIZE,3,7
469,44.3799838,-73.2581207,49.56,0.149999991059,STABILIZE,3,7
469,44.3799854,-73.2581179,49.55,0.129999995232,STABILIZE,3,7
469,44.3799859,-73.2581167,49.52,0.129999995232,STABILIZE,3,7
470,44.3799867,-73.2581143,49.51,0.170000001788,STABILIZE,3,7
470,44.3799858,-73.2581135,49.5,0.239999994636,STABILIZE,3,7
470,44.3799863,-73.2581123,49.48,0.419999986887,STABILIZE,3,7
470,44.379986,-73.2581116,49.47,0.389999985695,STABILIZE,3,7
470,44.379986,-73.2581112,49.53,0.109999999404,STABILIZE,3,7
470,44.3799832,-73.2581148,49.9,0.899999976158,STABILIZE,3,7
470,44.3799801,-73.2581168,50.07,0.119999997318,STABILIZE,3,7
470,44.3799812,-73.2581159,50.11,0.0399999991059,STABILIZE,3,7
470,44.3799832,-73.258113,50.12,0.179999992251,STABILIZE,3,7
470,44.3799856,-73.2581125,50.1,0.259999990463,STABILIZE,3,7
470,44.3799907,-73.2581097,50.06,0.829999983311,STABILIZE,3,7
470,44.3799941,-73.258112,50.05,1.10000002384,STABILIZE,3,7
470,44.3799984,-73.2581128,50.1,1.69999992847,STABILIZE,3,7
470,44.3800052,-73.2581144,50.12,1.10000002384,STABILIZE,3,7
470,44.3800081,-73.2581171,50.12,1.19999992847,STABILIZE,3,7
471,44.3800157,-73.2581162,50.11,0.519999980927,STABILIZE,3,6
471,44.3800191,-73.2581188,50.1,0.729999959469,STABILIZE,3,7
471,44.380022,-73.2581202,50.08,1.06999993324,STABILIZE,3,7
471,44.3800268,-73.2581229,50.08,1.28999996185,STABILIZE,3,7
471,44.3800365,-73.2581224,50.07,1.75,STABILIZE,3,7
471,44.3800444,-73.2581259,50.04,1.54999995232,STABILIZE,3,7
471,44.3800485,-73.2581282,50.06,1.37999999523,STABILIZE,3,7
472,44.3800542,-73.2581343,50.06,1.25,STABILIZE,4,7
472,44.3800611,-73.2581365,50.12,1.73000001907,STABILIZE,4,7
472,44.380068,-73.2581375,50.24,1.17999994755,STABILIZE,4,7
472,44.3800712,-73.2581393,50.27,1.51999998093,STABILIZE,4,7
469,44.3800746,-73.2581407,50.17,1.36000001431,STABILIZE,4,7
469,44.3800809,-73.2581402,50.18,1.26999998093,STABILIZE,4,7
469,44.3800882,-73.2581412,50.15,1.03999996185,STABILIZE,4,7
469,44.3800929,-73.2581438,50.16,0.299999982119,STABILIZE,4,7
470,44.3800957,-73.2581444,50.18,0.889999985695,STABILIZE,4,7
470,44.3801029,-73.2581411,50.2,0.699999988079,STABILIZE,4,7
470,44.3801066,-73.2581438,50.09,1.11000001431,STABILIZE,4,7
470,44.3801147,-73.2581496,50.08,1.52999997139,STABILIZE,4,7
470,44.3801202,-73.2581505,50.09,0.969999969006,STABILIZE,4,7
470,44.3801255,-73.2581501,50.09,1.25,STABILIZE,4,7
470,44.3801289,-73.2581494,50.1,0.399999976158,STABILIZE,4,7
470,44.3801363,-73.2581461,50.05,1.12000000477,STABILIZE,4,7
470,44.3801417,-73.2581468,50.09,1.62000000477,STABILIZE,4,7
470,44.3801458,-73.2581489,50.1,1.26999998093,STABILIZE,4,7
470,44.3801505,-73.2581502,50.12,0.899999976158,STABILIZE,4,7
471,44.3801518,-73.2581541,50.17,0.0999999940395,STABILIZE,4,7
471,44.3801519,-73.2581586,50.13,0.129999995232,STABILIZE,4,7
471,44.3801511,-73.2581611,50.16,0.340000003576,STABILIZE,4,7
471,44.3801526,-73.2581641,50.16,0.599999964237,STABILIZE,4,7
471,44.380157,-73.258167,50.17,1.63999998569,STABILIZE,4,7
471,44.3801629,-73.2581708,50.18,0.789999961853,STABILIZE,4,7
471,44.3801678,-73.2581734,50.16,0.579999983311,STABILIZE,4,7
471,44.3801719,-73.2581763,50.17,0.409999996424,STABILIZE,4,7
471,44.380173,-73.2581777,50.16,0.25,STABILIZE,4,7
471,44.3801753,-73.2581784,50.16,0.299999982119,STABILIZE,4,7
471,44.3801765,-73.2581795,50.18,0.159999996424,STABILIZE,4,7
470,44.3801816,-73.258179,50.17,0.310000002384,STABILIZE,4,7
470,44.3801863,-73.2581809,50.17,0.719999969006,STABILIZE,4,7
470,44.3801938,-73.2581831,50.17,1.39999997616,STABILIZE,4,7
470,44.3802083,-73.2581875,50.16,1.41999995708,STABILIZE,4,7
471,44.3802154,-73.2581923,50.12,1.55999994278,STABILIZE,4,7
471,44.3802231,-73.2581935,50.1,1.55999994278,STABILIZE,4,7
471,44.3802296,-73.2581929,50.09,1.44999992847,STABILIZE,4,7
471,44.3802365,-73.2581945,50.09,1.16999995708,STABILIZE,4,7
471,44.3802436,-73.2581968,50.06,1.19999992847,STABILIZE,4,7
471,44.3802492,-73.2581994,50.1,1.23000001907,STABILIZE,4,7
471,44.3802553,-73.258205,50.09,1.74000000954,STABILIZE,4,7
471,44.3802587,-73.2582089,50.08,0.789999961853,STABILIZE,4,7
471,44.3802658,-73.2582159,50.06,1.75999999046,STABILIZE,4,7
471,44.3802739,-73.2582191,50.09,1.75999999046,STABILIZE,4,7
471,44.3802791,-73.2582235,50.06,0.899999976158,STABILIZE,4,7
472,44.3802824,-73.2582221,50.05,0.519999980927,STABILIZE,4,7
472,44.3802879,-73.2582194,50.08,0.589999973774,STABILIZE,4,7
472,44.3802915,-73.2582207,50.14,0.359999984503,STABILIZE,4,7
472,44.3802935,-73.2582199,50.15,0.140000000596,STABILIZE,4,6
472,44.380294,-73.2582216,50.16,0.070000000298,STABILIZE,4,6
472,44.3802942,-73.2582238,50.16,0.34999999404,STABILIZE,4,6
472,44.3802955,-73.2582269,50.15,0.219999998808,STABILIZE,4,6
472,44.3802973,-73.2582284,50.15,0.879999995232,STABILIZE,3,6
471,44.3802991,-73.2582313,50.18,0.579999983311,STABILIZE,3,7
471,44.3803,-73.2582355,50.22,0.849999964237,STABILIZE,3,7
471,44.3803018,-73.2582398,50.16,0.889999985695,STABILIZE,3,7
471,44.3803047,-73.2582491,50.16,1.17999994755,STABILIZE,3,7
470,44.3803067,-73.2582571,50.2,0.519999980927,STABILIZE,3,7
470,44.3803095,-73.2582597,50.23,1.61000001431,STABILIZE,3,7
470,44.380312,-73.2582701,50.27,1.7199999094,STABILIZE,3,7
470,44.3803142,-73.258274,50.29,0.919999957085,STABILIZE,3,7
470,44.3803175,-73.2582805,50.24,1.10000002384,STABILIZE,3,7
470,44.3803182,-73.2582864,50.21,1.18999993801,STABILIZE,3,7
470,44.3803193,-73.2582927,50.21,1.0,STABILIZE,3,7
469,44.3803206,-73.2583027,50.17,1.51999998093,STABILIZE,3,7
469,44.3803225,-73.2583086,50.12,1.45999991894,STABILIZE,3,7
469,44.3803252,-73.2583169,49.99,1.10000002384,STABILIZE,3,7
469,44.3803266,-73.258322,49.95,1.44999992847,STABILIZE,3,7
469,44.3803277,-73.2583297,49.93,0.930000007153,STABILIZE,3,7
469,44.3803278,-73.2583356,49.89,1.62999999523,STABILIZE,3,7
469,44.3803298,-73.2583469,49.82,1.45999991894,STABILIZE,3,7
469,44.3803317,-73.2583521,49.82,1.18999993801,STABILIZE,3,7
468,44.3803336,-73.2583583,49.8,0.969999969006,STABILIZE,3,7
468,44.3803367,-73.2583655,49.77,1.49000000954,STABILIZE,3,7
468,44.3803414,-73.2583773,49.73,1.51999998093,STABILIZE,3,7
467,44.3803431,-73.2583841,49.72,1.44999992847,STABILIZE,3,7
467,44.3803455,-73.2583905,49.7,1.69999992847,STABILIZE,3,7
467,44.3803478,-73.2584011,49.7,1.81999993324,STABILIZE,3,7
467,44.3803493,-73.2584073,49.73,1.44999992847,STABILIZE,3,7
468,44.3803515,-73.2584178,49.68,1.77999997139,STABILIZE,3,7
468,44.3803536,-73.258428,49.69,1.62000000477,STABILIZE,3,7
468,44.3803555,-73.2584384,49.62,1.5,STABILIZE,3,7
468,44.3803575,-73.2584447,49.62,1.37000000477,STABILIZE,3,7
468,44.3803585,-73.2584534,49.57,1.84999990463,STABILIZE,3,7
468,44.3803611,-73.2584684,49.51,1.33999991417,STABILIZE,3,7
468,44.3803626,-73.2584751,49.47,1.39999997616,STABILIZE,3,7
468,44.3803656,-73.2584847,49.51,1.27999997139,STABILIZE,3,7
468,44.3803683,-73.2584898,49.53,1.32999992371,STABILIZE,3,7
468,44.380373,-73.2585004,49.51,1.25,STABILIZE,3,7
468,44.3803754,-73.2585067,49.49,1.62000000477,STABILIZE,3,8
469,44.3803786,-73.2585147,49.49,1.50999999046,STABILIZE,3,8
469,44.3803805,-73.2585203,49.39,1.11000001431,STABILIZE,3,8
469,44.380383,-73.2585243,49.31,1.50999999046,STABILIZE,3,8
469,44.3803896,-73.2585343,49.29,1.05999994278,STABILIZE,3,8
466,44.3803921,-73.25854,49.24,1.29999995232,STABILIZE,3,8
466,44.380396,-73.2585474,49.24,0.949999988079,STABILIZE,3,8
466,44.3803989,-73.2585528,49.26,1.28999996185,STABILIZE,3,8
466,44.3804046,-73.2585635,49.28,1.12000000477,STABILIZE,3,8
466,44.3804073,-73.2585681,49.3,1.30999994278,STABILIZE,3,7
466,44.3804106,-73.2585746,49.33,1.04999995232,STABILIZE,3,7
466,44.3804126,-73.2585792,49.32,1.25999999046,STABILIZE,3,7
466,44.3804171,-73.2585888,49.27,0.939999997616,STABILIZE,3,7
465,44.380419,-73.2585941,49.26,1.64999997616,STABILIZE,3,7
465,44.3804223,-73.2586043,49.21,1.39999997616,STABILIZE,3,7
465,44.3804245,-73.2586114,49.18,1.4699999094,STABILIZE,3,7
465,44.3804272,-73.2586181,49.12,1.17999994755,STABILIZE,3,7
465,44.3804311,-73.2586268,49.11,1.37999999523,STABILIZE,3,7
465,44.3804346,-73.2586359,49.07,1.76999998093,STABILIZE,3,7
465,44.3804377,-73.2586458,49.01,1.35000002384,STABILIZE,3,7
466,44.3804399,-73.2586528,48.97,1.56999993324,STABILIZE,3,7
466,44.3804436,-73.2586627,48.98,1.29999995232,STABILIZE,3,7
466,44.3804469,-73.2586718,48.97,0.969999969006,STABILIZE,3,7
466,44.3804502,-73.2586779,48.99,1.05999994278,STABILIZE,3,7
466,44.3804517,-73.2586815,48.98,0.689999997616,STABILIZE,3,7
466,44.3804544,-73.2586891,48.94,1.25999999046,STABILIZE,3,7
466,44.3804561,-73.2586944,48.97,0.759999990463,STABILIZE,3,7
466,44.3804601,-73.258705,48.98,1.12999999523,STABILIZE,3,7
466,44.3804623,-73.2587101,48.96,1.15999996662,STABILIZE,3,7
466,44.3804643,-73.2587163,48.99,1.20999991894,STABILIZE,3,7
466,44.3804683,-73.2587269,49.0,1.31999993324,STABILIZE,3,7
467,44.3804711,-73.2587327,49.0,1.50999999046,STABILIZE,3,7
467,44.3804752,-73.2587426,49.0,1.45999991894,STABILIZE,3,7
467,44.3804773,-73.2587481,48.97,1.20999991894,STABILIZE,3,7
467,44.3804808,-73.2587569,48.91,1.24000000954,STABILIZE,3,7
466,44.3804846,-73.2587654,48.79,1.42999994755,STABILIZE,3,7
466,44.3804872,-73.2587738,48.81,1.01999998093,STABILIZE,3,7
466,44.3804887,-73.2587796,48.8,1.25,STABILIZE,3,7
466,44.380491,-73.2587907,48.86,1.37999999523,STABILIZE,3,7
467,44.3804927,-73.2587964,48.9,1.09000003338,STABILIZE,3,7
467,44.3804927,-73.2588047,48.99,0.909999966621,STABILIZE,3,7
467,44.3804927,-73.2588085,49.02,0.449999988079,STABILIZE,3,7
468,44.3804928,-73.2588171,49.09,1.00999999046,STABILIZE,3,7
468,44.3804925,-73.2588215,49.03,1.12000000477,STABILIZE,3,7
468,44.3804914,-73.2588256,48.97,0.989999949932,STABILIZE,3,7
468,44.3804921,-73.2588304,48.89,0.42999997735,STABILIZE,3,7
468,44.3804927,-73.258833,48.83,0.469999998808,STABILIZE,3,7
468,44.3804945,-73.2588353,48.76,0.329999983311,STABILIZE,3,7
468,44.3804951,-73.2588366,48.77,0.479999989271,STABILIZE,3,7
468,44.3804952,-73.2588371,48.79,0.209999993443,STABILIZE,3,7
468,44.3804953,-73.2588373,48.73,0.0299999993294,STABILIZE,3,7
468,44.3804952,-73.2588369,48.65,0.359999984503,STABILIZE,3,8
468,44.3804974,-73.2588383,48.45,0.459999978542,STABILIZE,3,8
468,44.3804979,-73.2588379,48.21,0.52999997139,STABILIZE,3,8
468,44.3804973,-73.2588369,48.08,0.319999992847,STABILIZE,3,8
468,44.3804971,-73.2588389,47.94,0.209999993443,STABILIZE,3,8
468,44.3804986,-73.2588393,47.88,0.239999994636,STABILIZE,3,8
469,44.3804984,-73.25884,47.84,0.0899999961257,STABILIZE,3,8
469,44.380498,-73.2588424,47.86,0.310000002384,STABILIZE,3,8
469,44.3804988,-73.2588434,47.88,0.289999991655,STABILIZE,3,8
469,44.3804992,-73.2588441,47.88,0.389999985695,STABILIZE,3,8
468,44.3805002,-73.258845,47.9,0.289999991655,STABILIZE,3,8
468,44.380501,-73.2588466,47.91,0.129999995232,STABILIZE,3,8
468,44.3805005,-73.2588475,47.94,0.0499999970198,STABILIZE,3,8
468,44.3805009,-73.2588483,47.95,0.280000001192,STABILIZE,3,8
468,44.3804997,-73.2588489,47.95,0.209999993443,STABILIZE,3,8
468,44.3804994,-73.2588493,47.94,0.119999997318,STABILIZE,3,8
468,44.3804993,-73.2588488,47.92,0.0899999961257,STABILIZE,3,8
468,44.3804994,-73.2588488,47.92,0.019999999553,STABILIZE,3,8
468,44.3805004,-73.2588487,47.93,0.129999995232,STABILIZE,3,8
468,44.3805007,-73.2588482,47.92,0.0599999986589,STABILIZE,3,8
468,44.3804994,-73.2588484,47.92,0.149999991059,STABILIZE,3,8
468,44.3804995,-73.2588476,47.92,0.259999990463,STABILIZE,3,8
468,44.3804991,-73.2588474,47.91,0.119999997318,STABILIZE,3,8
468,44.3804992,-73.2588467,47.89,0.179999992251,STABILIZE,3,8
468,44.3804994,-73.2588471,47.91,0.149999991059,STABILIZE,3,8
469,44.380499,-73.2588473,47.91,0.34999999404,STABILIZE,3,8
469,44.3804988,-73.2588475,47.92,0.070000000298,STABILIZE,3,8
469,44.3804992,-73.2588479,47.92,0.359999984503,STABILIZE,3,8
469,44.3804992,-73.2588481,47.93,0.259999990463,STABILIZE,3,8
467,44.3804993,-73.2588482,48.02,0.389999985695,STABILIZE,3,8
467,44.380498,-73.2588491,47.95,0.550000011921,STABILIZE,3,8
467,44.3804975,-73.2588489,47.93,0.370000004768,STABILIZE,3,8
467,44.3804963,-73.2588487,47.9,0.269999980927,STABILIZE,3,8
468,44.3804939,-73.2588492,47.88,0.0499999970198,STABILIZE,3,8
468,44.3804946,-73.2588492,47.92,0.259999990463,STABILIZE,3,8
468,44.3804945,-73.2588498,47.86,0.519999980927,STABILIZE,3,8
467,44.3804948,-73.2588485,47.84,0.129999995232,STABILIZE,3,8
467,44.3804935,-73.2588492,47.83,0.419999986887,STABILIZE,3,8
467,44.3804926,-73.2588484,47.82,0.289999991655,STABILIZE,3,8
467,44.3804929,-73.2588484,47.8,0.149999991059,STABILIZE,3,8
467,44.3804918,-73.2588487,47.79,0.209999993443,STABILIZE,3,8
467,44.380492,-73.2588492,47.79,0.179999992251,STABILIZE,3,8
467,44.3804926,-73.2588501,47.77,0.140000000596,STABILIZE,3,8
467,44.3804916,-73.2588488,47.76,0.269999980927,STABILIZE,3,8
467,44.3804924,-73.2588494,47.74,0.140000000596,STABILIZE,3,8
467,44.380492,-73.2588495,47.74,0.129999995232,STABILIZE,3,8
467,44.3804921,-73.2588491,47.74,0.140000000596,STABILIZE,3,8
